SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,ZipCode,Ship_to_Country,Hdr-Note,Ship_via
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,1,899010944-AHOM-4/24,-,-,,2256,94,24,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,ROUTE ASAP - MUST BE ROUTED BEFORE 5/17 ; SEE EMAIL,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,2,NS18-FR-BK-AHOM-S,6/36,-,,540,15,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,3,NS18-FR-BK-AHOM-S,6/24,-,,24,1,24,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,4,NS18-FR-MEDPK-AHOM-S,6/36,-,,540,15,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,5,NS18-FR-MEDPK-AHOM-S,6/24,-,,24,1,24,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,6,NS18-FR-TGR-AHOM-S,6/36,-,,540,15,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,7,NS18-FR-TGR-AHOM-S,6/24,-,,24,1,24,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,8,NS18-FR-SNLEO-AHOM-S,6/36,-,,540,15,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,9,NS18-FR-SNLEO-AHOM-S,6/24,-,,24,1,24,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16004,ATHOME1,AT HOME,1715786,10,899010945-AHOM-4/24,-,-,,2256,94,24,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #900,AT HOME,1406 EAST PLANO PARKWAY,,PLANO,TX,75074,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,1,899010944-AHOM-4/24,-,-,,2664,111,24,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,ROUTE ASAP - MUST BE ROUTED BEFORE 5/17 ; SEE EMAIL,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,2,NS18-FR-BK-AHOM-S,6/36,-,,648,18,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,3,NS18-FR-BK-AHOM-S,6/18,-,,18,1,18,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,4,NS18-FR-MEDPK-AHOM-S,6/36,-,,648,18,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,5,NS18-FR-MEDPK-AHOM-S,6/18,-,,18,1,18,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,6,NS18-FR-TGR-AHOM-S,6/36,-,,648,18,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,7,NS18-FR-TGR-AHOM-S,6/18,-,,18,1,18,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,8,NS18-FR-SNLEO-AHOM-S,6/36,-,,648,18,36,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,9,NS18-FR-SNLEO-AHOM-S,6/18,-,,18,1,18,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
SLF940,QUEST,16005,ATHOME1,AT HOME,1715787,10,899010945-AHOM-4/24,-,-,,2664,111,60,,,,10,,,5/14/2019,5/23/2019,5/29/2019,,DC #920,AT HOME,6 LOGISTICS DRIVE,,CARLISLE,PA,17013,USA,,
