SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,ZipCode,Country,HdrNote,ship-via
SLF940,VAND,179104,AMAZON11.2,AMAZON,8UOD9A8R,1,ME9386,,,,2,1,2,,,,,,,11/12/2019,10/25/2019,10/28/2019,,,"AMAZON, TEB3",2651 Oldmans Creek Road,,SWEDESBORO,NJ,08085-,,,
SLF940,VAND,179170,AMAZON11.2,AMAZON,7M1R5X5L,1,ME9386,,,,2,1,2,,,,,,,11/12/2019,10/25/2019,10/28/2019,,,Amazon BOS7,1180 Innovation Way,,Fall River,MA,02722-,,,
SLF940,VAND,179181,AMAZON11.2,AMAZON,59X3RL1O,1,ME9386,,,,2,1,2,,,,,,,11/12/2019,10/25/2019,10/28/2019,,,"AMAZON, TEB3",2651 Oldmans Creek Road,,SWEDESBORO,NJ,08085-,,,
SLF940,VAND,179184,AMAZON11.2,AMAZON,4Z1NY7VK,1,ME9386,,,,2,1,2,,,,,,,11/12/2019,10/25/2019,10/28/2019,,,Amazon BOS7,1180 Innovation Way,,Fall River,MA,02722-,,,
SLF940,VAND,179170,AMAZON11.2,AMAZON,7M1R5X5L,1,ME8433,,,,3,1,3,,,,,,,11/12/2019,10/25/2019,10/28/2019,,,Amazon BOS7,1180 Innovation Way,,Fall River,MA,02722-,,,
SLF940,VAND,179184,AMAZON11.2,AMAZON,4Z1NY7VK,1,ME8433,,,,3,1,3,,,,,,,11/12/2019,10/25/2019,10/28/2019,,,Amazon BOS7,1180 Innovation Way,,Fall River,MA,02722-,,,
SLF940,VAND,177270,AMAZON11.2,AMAZON,41G6N8VR,1,ME9202,,,,4,1,4,,,,,,,11/12/2019,11/25/2019,11/27/2019,,,LGB8,1568 N Linden Avenue,,Rialto,CA,92376-,,,
SLF940,VAND,177272,AMAZON11.2,AMAZON,45WOL4SB,1,ME9218,,,,4,1,4,,,,,,,11/12/2019,11/25/2019,11/27/2019,,,XUSN,4200 Ferry Road,,Aurora,IL,60502-,,,
SLF940,VAND,177273,AMAZON11.2,AMAZON,4IES812Z,1,ME9245,,,,4,1,4,,,,,,,11/12/2019,11/25/2019,11/27/2019,,,AMAZON.COM KYDC LLC,6000 Enterprise Ave,,Schertz,TX,78154-,,,
SLF940,VAND,177276,AMAZON11.2,AMAZON,67G7LW6F,1,1103108-4,,,,4,1,4,,,,,,,11/12/2019,11/25/2019,11/27/2019,,,MDW9,2865 Duke Parkway,,Aurora,IL,60502-,,,
