SLF940,COMPID,REFNUM,BATCHID,CUSTID,CUSTPO,PICKLINE,ITEMNUM,COLOR,SIZE,CUST_SKU,ITMQTY,CTNS,CTN_QTY,CTN_CUBE,CTN_WGT,ITM_NAME,DTLCOUNT,PONUM,RELID,REQDT,STARTDT,CANCELDT,DEPT,STORE,SHIPTONAME,SHIPTOADD1,SHIPTOADD2,CITY,STATE,ZIPCODE,COUNTRY,HDRNOTE,SHIP_VIA
SLF940,JF2015,BE96311-001,JF394-20200128,23011,1059352925,1,JF68357WMFL,,,555503652,8,2,4,0.812,7,MICKEY STRIPES HOODED TOWEL,7,,1,1/28/2020,1/31/2020,1/31/2020,20,6069,WAL-MART DC 6006A-ASM DIS,2200 7TH AVENUE SOUTHWEST,,CULLMAN,AL,35055,USA,,J B HUNT
SLF940,JF2015,BE96311-001,JF394-20200128,23011,1059352925,2,JF35672WMFL,,,564331438,8,2,4,0.226,10,MICKEY CLASSIC HAND TOWEL,7,,3,1/28/2020,1/31/2020,1/31/2020,20,6069,WAL-MART DC 6006A-ASM DIS,2200 7TH AVENUE SOUTHWEST,,CULLMAN,AL,35055,USA,,J B HUNT
SLF940,JF2015,BE96311-001,JF394-20200128,23011,1059352925,3,JF35671WMFL,,,564334102,24,4,6,2.076,20,MICKEY CLASSIC BATH TOWEL,7,,4,1/28/2020,1/31/2020,1/31/2020,20,6069,WAL-MART DC 6006A-ASM DIS,2200 7TH AVENUE SOUTHWEST,,CULLMAN,AL,35055,USA,,J B HUNT
SLF940,JF2015,BE96311-001,JF394-20200128,23011,1059352925,4,JF31984WMFL,,,566073660,48,12,4,5.1,48.12,SPIDERMAN 2PC BATH SET,7,,5,1/28/2020,1/31/2020,1/31/2020,20,6069,WAL-MART DC 6006A-ASM DIS,2200 7TH AVENUE SOUTHWEST,,CULLMAN,AL,35055,USA,,J B HUNT
SLF940,JF2015,BE96311-001,JF394-20200128,23011,1059352925,5,JF37262WMFL,,,575950672,60,15,4,6.375,59.85,FROZEN MODDULAR 2PC BATH SET,7,,6,1/28/2020,1/31/2020,1/31/2020,20,6069,WAL-MART DC 6006A-ASM DIS,2200 7TH AVENUE SOUTHWEST,,CULLMAN,AL,35055,USA,,J B HUNT
SLF940,JF2015,BE96311-001,JF394-20200128,23011,1059352925,6,JF68484WMFL,,,575950675,12,3,4,1.257,9.72,FROZEN 2 OLAF HOODED BATH TOWE,7,,7,1/28/2020,1/31/2020,1/31/2020,20,6069,WAL-MART DC 6006A-ASM DIS,2200 7TH AVENUE SOUTHWEST,,CULLMAN,AL,35055,USA,,J B HUNT
SLF940,JF2015,BE96311-001,JF394-20200128,23011,1059352925,7,JF68486WMFL,,,575950677,80,20,4,8.38,64.8,FROZEN 2 ELSA HOODED BATH TOWE,7,,8,1/28/2020,1/31/2020,1/31/2020,20,6069,WAL-MART DC 6006A-ASM DIS,2200 7TH AVENUE SOUTHWEST,,CULLMAN,AL,35055,USA,,J B HUNT
SLF940,JF2015,BE96312-001,JF394-20200128,23011,6266060823,1,JF68357WMFL,,,555503652,8,2,4,0.812,7,MICKEY STRIPES HOODED TOWEL,8,,1,1/28/2020,1/31/2020,1/31/2020,20,6099,WAL-MART DC 6009A-ASM DIS,1501 MAPLE LEAF ROAD,,MOUNT PLEASANT,IA,52641,USA,,J B HUNT
SLF940,JF2015,BE96312-001,JF394-20200128,23011,6266060823,2,JF35672WMFL,,,564331438,8,2,4,0.226,10,MICKEY CLASSIC HAND TOWEL,8,,2,1/28/2020,1/31/2020,1/31/2020,20,6099,WAL-MART DC 6009A-ASM DIS,1501 MAPLE LEAF ROAD,,MOUNT PLEASANT,IA,52641,USA,,J B HUNT
SLF940,JF2015,BE96312-001,JF394-20200128,23011,6266060823,3,JF35671WMFL,,,564334102,12,2,6,1.038,10,MICKEY CLASSIC BATH TOWEL,8,,3,1/28/2020,1/31/2020,1/31/2020,20,6099,WAL-MART DC 6009A-ASM DIS,1501 MAPLE LEAF ROAD,,MOUNT PLEASANT,IA,52641,USA,,J B HUNT
SLF940,JF2015,BE96312-001,JF394-20200128,23011,6266060823,4,JF68745WMFL,,,568575459,28,7,4,3.206,21.56,JOJO WOW UNICORN HOODED TOWEL,8,,4,1/28/2020,1/31/2020,1/31/2020,20,6099,WAL-MART DC 6009A-ASM DIS,1501 MAPLE LEAF ROAD,,MOUNT PLEASANT,IA,52641,USA,,J B HUNT
SLF940,JF2015,BE96312-001,JF394-20200128,23011,6266060823,5,JF37262WMFL,,,575950672,24,6,4,2.55,23.94,FROZEN MODDULAR 2PC BATH SET,8,,5,1/28/2020,1/31/2020,1/31/2020,20,6099,WAL-MART DC 6009A-ASM DIS,1501 MAPLE LEAF ROAD,,MOUNT PLEASANT,IA,52641,USA,,J B HUNT
SLF940,JF2015,BE96312-001,JF394-20200128,23011,6266060823,6,JF68484WMFL,,,575950675,32,8,4,3.352,25.92,FROZEN 2 OLAF HOODED BATH TOWE,8,,6,1/28/2020,1/31/2020,1/31/2020,20,6099,WAL-MART DC 6009A-ASM DIS,1501 MAPLE LEAF ROAD,,MOUNT PLEASANT,IA,52641,USA,,J B HUNT
