HDR940,JF2015,JF203-JF70911-001,CHILDRENS HOSPITAL,3705,0,,61418MH,JF70911,1,6/21/2018,6/20/2018,6/27/2018,24,CALL FOR RTG,CHILDRENS HOSPITAL,455 S MAIN ST,OF ORANGE COUNTY GIFT SHOP,ORANGE,CA,92868
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,1,JF21965JCCD,,4,2,2,,12,CARS 3 CRUZ PILLOW BUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,2,JF22193WMCD,,4,2,2,1.48,4,DOC MCSTUFFINS PILLOWTIME PAL,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,3,JF22279TRUCD,,3,1,3,0.902,3,MICKEY PILLOWTIME PAL,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,4,JF24626AHCD,,4,2,2,1.458,6,"FROZEN ANNA 17"" PILLOWBUDDY",,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,5,JF22623TICD,,2,1,2,1.134,3,SHOPKINS STRAWBERRY KISS PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,6,JF22625TRUCD,,2,1,2,1.053,2.64,SHOPKINS KOOKIE COOKIE PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,7,JF22628WMCD,,2,1,2,0.947,3,ASST SHOPKINS STRAWBRRY/DONUT,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,8,JF22638MJCD,,2,1,3,1.565,2.35,ASST SHOPKINS PILLOW BUDDY MEIJER,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,9,JF22985AACD,,4,2,2,1.134,4,MINNIE DOT COUTURE PILLOW BUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,10,JF23051TRUCD,,4,2,2,1.262,6,"FINDING DORY HANK PILLOWBUDDY 15""",,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,11,JF29624TCCD,,4,1,6,4.138,8.51,"CARE BEAR CHEER BEAR PILLOWBUDDY 15""",,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,12,JF23234WMCD,,4,2,2,1.096,4.4,LION GUARD KION PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,13,JF23947WCD,,2,1,2,0.916,3,ASST. INSIDE OUT PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,14,JF24387JCD,,4,2,2,3.208,8,STAR WARS R2D2 PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,15,JF25298JCCD,,4,2,2,1.61,6,GOTG2 BABY GROOT PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,16,JF25747WMCD,,4,2,2,1.34,4.4,MINNIE MOUSE PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,17,JF27758TICD,,4,1,8,6.564,7.59,STAR WARS EP7 BB8 OVERSIZED PI,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,18,JF27493TCD,,4,2,2,2.212,6.38,JOJO UNICORN PILLOW BUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,19,JF29776MJBCD,,2,1,2,0.925,3,ASST AVENGERS/IRON MAN PILLOWTIME PAL,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,20,JF27737MJCD,,4,2,2,1.672,5.28,"BLACK PANTHER 27"" PILLOWBUDDY",,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,21,JF28995TICD,,4,2,2,1.53,5.28,"FINDING DORY 19"" PILLOWBUDDY",,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,22,JF29597TICD,,4,2,2,2.216,6,SPLAT REPTAR PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,23,JF26977TICD,,4,2,2,1.332,4,STAR WARS CHEWBACCA PILLOWBUDDY,,,,,,,
DTL940,JF2015,JF203-JF70911-001,3705,61418MH,24,JF27492CD,,4,2,2,2.128,6,JOJO BOW BOW PILLOW BUDDY,,,,,,,
