SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,ZipCode,Ship_to_Country,Hdr-Note,Ship_via
SLF940,QUEST,18607,7.23HOMEGOODS,HOMEGOODS,10 714180,1,IJGT1033-U8U8,INV,6/24,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,SAN PEDRO,401 WESTMONT DR.,,SAN PEDRO,CA,90731,USA,MARK AS HOT ,
SLF940,QUEST,18607,7.23HOMEGOODS,HOMEGOODS,10 714180,2,IJGT1033-P4P4,INV,6/24,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,SAN PEDRO,401 WESTMONT DR.,,SAN PEDRO,CA,90731,USA,,
SLF940,QUEST,18607,7.23HOMEGOODS,HOMEGOODS,10 714180,3,IJCB1024-02B1-6/24,-,-,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,SAN PEDRO,401 WESTMONT DR.,,SAN PEDRO,CA,90731,USA,,
SLF940,QUEST,18607,7.23HOMEGOODS,HOMEGOODS,10 714180,4,IJCB1024-B1B1-6/24,-,-,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,SAN PEDRO,401 WESTMONT DR.,,SAN PEDRO,CA,90731,USA,,
SLF940,QUEST,18608,7.23HOMEGOODS,HOMEGOODS, 20 714180,1,IJGT1033-U8U8,INV,6/24,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,TUSCON,7000 S.ALVERNON WAY ,,TUSCON,AZ,85756,USA,,
SLF940,QUEST,18608,7.23HOMEGOODS,HOMEGOODS, 20 714180,2,IJGT1033-P4P4,INV,6/24,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,TUSCON,7000 S.ALVERNON WAY ,,TUSCON,AZ,85756,USA,,
SLF940,QUEST,18608,7.23HOMEGOODS,HOMEGOODS, 20 714180,3,IJCB1024-02B1-6/24,-,-,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,TUSCON,7000 S.ALVERNON WAY ,,TUSCON,AZ,85756,USA,,
SLF940,QUEST,18608,7.23HOMEGOODS,HOMEGOODS, 20 714180,4,IJCB1024-B1B1-6/24,-,-,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,TUSCON,7000 S.ALVERNON WAY ,,TUSCON,AZ,85756,USA,,
SLF940,QUEST,18609,7.23HOMEGOODS,HOMEGOODS,30 714180,1,IJGT1033-U8U8,INV,6/24,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,,50 BRYLA STREET,,CARTERET,NJ,07008,USA,,
SLF940,QUEST,18609,7.23HOMEGOODS,HOMEGOODS,30 714180,2,IJGT1033-P4P4,INV,6/24,,24,1,24,,,,4,,,7/23/2019,7/23/2019,7/25/2019,,HOMEGOODS,,50 BRYLA STREET,,CARTERET,NJ,07008,USA,,
