shipment,dcgcustomer,customerpono,efno,division,trailerno,bolno,carriercode,estimateddate,item,qty,casepack,productline,style,color,size,warehouse,pono,weight,height,width,length
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,BU-5463P+L1K,1200,6,3UP PAPER POST BOUND,BU-5463P,LOVE IS, ,EDS-WEST-WH,10077,10.58,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,BU-5463P+M4O,1200,6,3UP PAPER POST BOUND,BU-5463P,MARBLE W/ GOLD, ,EDS-WEST-WH,10077,10.58,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,BU-5463P+S6I,1200,6,3UP PAPER POST BOUND,BU-5463P,SHIPLAP, ,EDS-WEST-WH,10077,10.58,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,BU-5463P+S7O,1200,6,3UP PAPER POST BOUND,BU-5463P,SOUL W/ SILVER, ,EDS-WEST-WH,10077,10.58,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,BU-5463P+VJ4,1200,6,3UP PAPER POST BOUND,BU-5463P,ADVENTURE BOOK, ,EDS-WEST-WH,10077,11.9,13.78,8.46,11.1
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,BU-5463P+YVI,1200,8,3UP PAPER POST BOUND,BU-5463P,HAPPILY EVER AFTER, ,EDS-WEST-WH,10077,13.01,13.78,8.46,11.1
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,AW-2060+MCH,1200,12,SKETCHBOOK-SIDE SPRL,AW-2060,MARBLE         2060, ,EDS-WEST-WH,10326,27.56,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,AW-2060+KV1,1200,12,SKETCHBOOK-SIDE SPR,AW-2060,CRAFT SKETCH, ,EDS-WEST-WH,10328,25.13,11.81,10.71,11.61
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,AW-515+AV2,1200,12,PU JOURNAL W/BUCKLE,AW-515,ADVENTURE, ,EDS-WEST-WH,10328,16.53,9.06,8.07,12.6
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5463P+UKZ,54,6,3UP PAPER ALBUM,RI-5463P,THIS IS US, ,EDS-WEST-WH,10386,9.48,13.78,7.8,8.46
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5463P+YFF,54,6,3UP PAPER ALBUM,RI-5463P,FAMILY FLORAL, ,EDS-WEST-WH,10386,9.48,13.78,7.8,8.46
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5464P+KC8,54,6,2up album,RI-5464P,CHALK INSPIRATION, ,EDS-WEST-WH,10386,7.5,9.45,8.46,8.66
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5464P+MKZ,54,6,2up album,RI-5464P,MR. & MRS., ,EDS-WEST-WH,10386,7.5,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5464P+OIM,54,6,2up album,RI-5464P,MEMORIES, ,EDS-WEST-WH,10386,7.5,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5463P+UKZ,18,6,3UP PAPER ALBUM,RI-5463P,THIS IS US, ,EDS-WEST-WH,10389,9.48,13.78,7.8,8.46
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5463P+YFF,18,6,3UP PAPER ALBUM,RI-5463P,FAMILY FLORAL, ,EDS-WEST-WH,10389,9.48,13.78,7.8,8.46
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5464P+KC8,18,6,2up album,RI-5464P,CHALK INSPIRATION, ,EDS-WEST-WH,10389,7.5,9.45,8.46,8.66
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5464P+MKZ,18,6,2up album,RI-5464P,MR. & MRS., ,EDS-WEST-WH,10389,7.5,0,0,0
L,1,56397,200264, ,EISU9902135,,ITAL UNIVERSO 112414,2/2/2020,RI-5464P+OIM,18,6,2up album,RI-5464P,MEMORIES, ,EDS-WEST-WH,10389,7.5,0,0,0
