SLF943,CompID,cntr_id,line_num,po_num / Ref#,itm_Num,itm_color,itm_size,itm_name,itm_qty,ctn_qty,ctns,Ctn-Len,Ctn-Wid,Ctn-Hgt,ctn_cube,ctn_wgt,ENTRY-DT,ETA-DT,SUPPLIER,Hdr-Note,Dtl-Note
SLF943,VAND,TCNU7311972,1,3389,BD0064,,,Pop & Load Laundry Basket,1200,16,75,,,,,,,,,,
SLF943,VAND,TCNU7311972,2,3389,BD0065,,,Pop & Load Laundry Basket,1200,16,75,,,,,,,,,,
SLF943,VAND,TCNU7311972,3,3389,BD0067,,,Pop & Load Laundry Basket,1600,16,100,,,,,,,,,,
SLF943,VAND,TCNU7311972,4,3389,BD0071,,,Pop & Load Laundry Basket,432,6,72,,,,,,,,,,
SLF943,VAND,TCNU7311972,5,3389,TDY5860-WHT,,,Collapsible Dish Rack,2088,6,348,,,,,,,,,,
SLF943,VAND,CAIU8860720,1,3392,ME9681-BLEGG,,,Borosilicate Glass Food,1992,24,83,,,,,,,,,,
SLF943,VAND,CAIU8860720,2,3392,ME9681-BLOSS,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,CAIU8860720,3,3392,ME9681-MINT,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,CAIU8860720,4,3392,ME9682-BLEGG,,,Borosilicate Glass Food,1992,24,83,,,,,,,,,,
SLF943,VAND,CAIU8860720,5,3392,ME9682-BLOSS,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,CAIU8860720,6,3392,ME9682-MINT,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,CAIU8860720,7,3392,ME9683-BLEGG,,,Borosilicate Glass Food,2004,12,167,,,,,,,,,,
SLF943,VAND,CAIU8860720,8,3392,ME9683-BLOSS,,,Borosilicate Glass Food,1404,12,117,,,,,,,,,,
SLF943,VAND,CAIU8860720,9,3392,ME9683-MINT,,,Borosilicate Glass Food,1404,12,117,,,,,,,,,,
SLF943,VAND,CAIU8860720,10,3392,ME9684-BLEGG,,,Borosilicate Glass Food,804,12,67,,,,,,,,,,
SLF943,VAND,CAIU8860720,11,3392,ME9684-BLOSS,,,Borosilicate Glass Food,396,12,33,,,,,,,,,,
SLF943,VAND,CAIU8860720,12,3392,ME9684-MINT,,,Borosilicate Glass Food,396,12,33,,,,,,,,,,
SLF943,VAND,CAIU8860720,13,3392,ME9685-BLEGG,,,Borosilicate Glass Food,792,24,33,,,,,,,,,,
SLF943,VAND,CAIU8860720,14,3392,ME9685-BLOSS,,,Borosilicate Glass Food,408,24,17,,,,,,,,,,
SLF943,VAND,CAIU8860720,15,3392,ME9685-MINT,,,Borosilicate Glass Food,408,24,17,,,,,,,,,,
SLF943,VAND,CAIU8860720,16,3392,ME9686-BLEGG,,,Borosilicate Glass Food,792,24,33,,,,,,,,,,
SLF943,VAND,CAIU8860720,17,3392,ME9686-BLOSS,,,Borosilicate Glass Food,408,24,17,,,,,,,,,,
SLF943,VAND,CAIU8860720,18,3392,ME9686-MINT,,,Borosilicate Glass Food,408,24,17,,,,,,,,,,
SLF943,VAND,CAIU8860720,19,3392,ME9687-BLEGG,,,Borosilicate Glass Food,792,12,66,,,,,,,,,,
SLF943,VAND,CAIU8860720,20,3392,ME9687-BLOSS,,,Borosilicate Glass Food,408,12,34,,,,,,,,,,
SLF943,VAND,CAIU8860720,21,3392,ME9687-MINT,,,Borosilicate Glass Food,408,12,34,,,,,,,,,,
SLF943,VAND,CAIU8860720,22,3392,V06014-BLEGG,,,Borosilicate Glass Food,1200,24,50,,,,,,,,,,
SLF943,VAND,CAIU8860720,23,3392,V06014-BLOSS,,,Borosilicate Glass Food,1200,24,50,,,,,,,,,,
SLF943,VAND,CAIU8860720,24,3392,V06014-MINT,,,Borosilicate Glass Food,1200,24,50,,,,,,,,,,
SLF943,VAND,CAIU8860720,25,3392,V06015-BLEGG,,,Borosilicate Glass Food,1200,12,100,,,,,,,,,,
SLF943,VAND,CAIU8860720,26,3392,V06015-BLOSS,,,Borosilicate Glass Food,1200,12,100,,,,,,,,,,
SLF943,VAND,CAIU8860720,27,3392,V06015-MINT,,,Borosilicate Glass Food,1200,12,100,,,,,,,,,,
SLF943,VAND,GAOU6013095,1,3392,ME9679-BLEGG,,,Borosilicate Glass Food,1992,24,83,,,,,,,,,,
SLF943,VAND,GAOU6013095,2,3392,ME9679-BLOSS,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,GAOU6013095,3,3392,ME9679-MINT,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,GAOU6013095,4,3392,ME9680-BLEGG,,,Borosilicate Glass Food,804,12,67,,,,,,,,,,
SLF943,VAND,GAOU6013095,5,3392,ME9680-BLOSS,,,Borosilicate Glass Food,804,12,67,,,,,,,,,,
SLF943,VAND,GAOU6013095,6,3392,ME9680-MINT,,,Borosilicate Glass Food,804,12,67,,,,,,,,,,
SLF943,VAND,GAOU6013095,7,3392,ME9688-BLEGG,,,Borosilicate Glass Food,1992,24,83,,,,,,,,,,
