SLF943,CompID,cntr_id,line_num,po_num / Ref#,itm_Num,itm_color,itm_size,itm_name,itm_qty,ctn_qty,ctns,Ctn-Len,Ctn-Wid,Ctn-Hgt,ctn_cube,ctn_wgt,ENTRY-DT,ETA-DT,SUPPLIER,Hdr-Note,Dtl-Note
SLF943,QUEST,180-64802964,1,EP-WM-82319,EP-ABSTRP-PK,-,-,"ECOPOPS 6/36 Pack For WM DEC Wow. ",7200,36 ,200 ,12.20 ,7.48 ,8.07 ,0.43 ,1.37 ,11/14/2019,11/14/2019,,,
SLF943,QUEST,180-64802964,2,EP-WM-82319,EP-MRFL-2,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",7200,36,200 ,11.61 ,7.48 ,8.07 ,0.41 ,1.31 ,11/14/2019,11/14/2019,,,
SLF943,QUEST,180-64802964,3,EP-WM-82319,EP-MNDLA-2,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",7200,36,200 ,11.61 ,7.48 ,8.07 ,0.41 ,2.31 ,11/14/2019,11/14/2019,,,
SLF943,QUEST,180-64802964,4,EP-WM-82319,EP-AQMRFL,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",7200,36,200 ,11.61 ,7.48 ,8.07 ,0.41 ,3.31 ,11/14/2019,11/14/2019,,,
SLF943,QUEST,180-64802964,5,EP-WM-82319,EP-FLWAV-1,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",7200,36,200 ,11.61 ,7.48 ,8.07 ,0.41 ,4.31 ,11/14/2019,11/14/2019,,,
SLF943,QUEST,180-64802964,6,EP-WM-82319,EP-GELTGT-BL,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",7200,36,200 ,11.61 ,7.48 ,8.07 ,0.41 ,5.31 ,11/14/2019,11/14/2019,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
