SLF943,CompID,cntr_id,line_num,po_num / Ref#,itm_Num,itm_color,itm_size,itm_name,itm_qty,ctn_qty,ctns,Ctn-Len,Ctn-Wid,Ctn-Hgt,ctn_cube,ctn_wgt,ENTRY-DT,ETA-DT,SUPPLIER,Hdr-Note,Dtl-Note
SLF943,QUEST,297-36764884,1,EP-WM-82319,EP-MRMSCL,-,-,"ECO POPS 6/36 Pack For WM DEC Wow. ",7200,36,200,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,2,EP-WM-82319,EP-PFLOVE,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",7200,36,200,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,3,EP-WM-82319,EP-JELFSH,-,-,"ECO POPS 6/36 Pack For WM DEC WoW",7200,36,200,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,4,EP-WM-82319,EP-ABSTRP-PK,-,-,"ECOPOPS 6/36 Pack For WM DEC Wow. ",324,36,9,12.2,7.48,8.07,0.43,1.37,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,5,EP-WM-82319,EP-FLWAV-1,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",324,36,9,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,6,EP-WM-82319,EP-GELTGT-BL,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",324,36,9,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,7,EP-WM-82319,EP-MRMSCL,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",324,36,9,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,8,EP-WM-82319,EP-PFLOVE,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",324,36,9,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,9,EP-WM-82319,EP-JELFSH,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",324,36,9,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,10,EP-WM-82319,EP-MRFL-2,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",2808,36,78,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,11,EP-WM-82319,EP-MNDLA-2,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",2808,36,78,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
SLF943,QUEST,297-36764884,12,EP-WM-82319,EP-AQMRFL,-,-,"ECO POPS 6/36 Pack For WM DEC Wow",2808,36,78,11.61,7.48,8.07,0.41,1.33,11/14/2019,11/14/2019,,,
