SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,Cntry,ZipCode,Country,HdrNote,ship-via
SLF940,VAND,166551,,BBB,EB9D6FE,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0768,BB&B #0768 North Cincinnati,5800 Deerfield Road,,Mason,OH,,45040-,,,
SLF940,VAND,166556,,BBB,EC2B2TC,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1035,BB&B #1035 Turkey Creek,11263 Parkside Drive Suite 612,,Knoxville,TN,,37934-,,,
SLF940,VAND,166557,,BBB,EB9W7MS,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0119,BB&B #0119 Canton,6725 STRIP AVENUE NW,,NORTH CANTON,OH,,44720-,,,
SLF940,VAND,166558,,BBB,EB9T8QY,1,PL5202,,,,48,8,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0051,BB&B #0051 Webster,19801 GULF FREEWAY SUITE 1000,,WEBSTER,TX,,77598-,,,
SLF940,VAND,166559,,BBB,EB9R9DG,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0165,BB&B #0165 Bloomington,7961 SOUTHTOWN CENTER,,BLOOMINGTON,MN,,55431-,,,
SLF940,VAND,166560,,BBB,EC3D5BH,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1081,BB&B #1081 Gallery Place,709 7th Street NW,,Washington,DC,,20001-,,,
SLF940,VAND,166561,,BBB,EC3B7SN,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0405,BB&B #0405 Huntsville,6888 Governors West,,Huntsville,AL,,35806-,,,
SLF940,VAND,166562,,BBB,EC3A3SE,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1331,BB&B #1331 Lancaster,2350 Lincoln Highway East,Suite 100,Lancaster,PA,,17602-,,,
SLF940,VAND,166563,,BBB,EC2Z4BF,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0590,BB&B #0590 Mobile,3725 Airport Blvd Suite 100A,,Mobile,AL,,36608-,,,
SLF940,VAND,166564,,BBB,EC2Z3TT,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1214,BB&B #1214 So. Virginia Beach,3312 Princess Ann Road Suite 807,,Virginia Beach,VA,,23456-,,,
